review,sentiment,,
"Recently was traveling in Norway from Bergen, Norway and stopped in the small town of Voss, Norway and there was a monument in honor of Knute Rockne who was born in Voss years ago. The people all know about Knute to this day and tour guides are proud to stop at his monument. This film is a great history of this great man and his great love for Notre Dame Never realized that Knute has such great talents in chemistry and laboratory science and also taught chemistry for years and at the same time coached the football team. Ronald Reagan played the role of George Gipp, (The Gipper) who was an outstanding football player; Reagan had a short role, but gave a great supporting role in this film. Donald Crisp, (Father John Callahan) was outstanding as a priest who always had great faith in Knute during his entire life at Notre Dame. This is a great Classic film and will be viewed by many generations to come. Enjoy.",1,,
"'Airport 4' is basically a slopped together mess for Universal Studios to try and work a new twist - the Concorde supersonic airliner - into their 'disaster-in-the-sky' formula.<br /><br />Bogged down with unintentional humor, the best of which is when George Kennedy sticks his hand out of Concorde's window at supersonic speed to fire a flare gun at a heat-seeking missile following the aircraft's flight path, and the simple fact that these dumb passengers keep re-boarding the same plane to continue their flight despite all the problems in the air. Many stars in this one including Robert Wagner, Sylvia Kristel, Alain Delon, and Martha Raye as a nervous passenger. <br /><br />Not really related to the other 'Airport' films.",0,,
"I buy or at least watch every Seagall movie. He came out with a handful of good movies then descending into poor stories, bad camera work and a walk-thru persona, he nearly lost me. A few movies ago he remembered how to make a decent movie. Now he's forgotten again. This film is seriously dark (on any level you care to name). There is a lot of slash & gash going on here with no discernible purpose unless it's meant as a warning against the military.<br /><br />Seagall may have had a stand-in for many of his scenes as it was often too dark to tell and someone else's voice was used most of the time. Sadly the only interesting character was the bad guy who killed his guard to escape custody & then proceeded to raise havoc all over the place. Okay since when do we place an armed guard in the holding room with a prisoner? Anyway this bad guy was at least colorful, and very focused. There's lots of gore if you like that king of thing. It looked to me like the bad guys tore the same gash every time. I'm just glad they didn't suck the blood from their hapless victims. I harken you back to my summary. Basically it is a horror movie disguised as an action film.Dec 6,2006",0,,
"When i first saw the title i was already deducing the theme of the film - it clearly wasn't a reference to British currency, so it had to be Shakespearian and about pounds of flesh - taking them, or giving them. Will Smith's a feelgood actor, so serial killers were out. It could only be about a man giving them, so must be about guilt somehow. I spoilt the whole thing for myself by looking it up and knowing the story before i watched, as the beauty of the build-up is the way parts of the main character's background are drip fed to slowly illuminate the audience as to who he is and why he is doing what he is doing.<br /><br />Guilt is a very hard subject to do simply because it's deeply uncomfortable and sad, which is not an encouraging premise when you are hoping for a roller-coaster ride - you know its going to be unpleasant. I wouldn't say the movie glorifies suicide; it delves into the most extreme form of self-sacrifice - martyrdom.<br /><br />It's also brimming with symbolism everywhere, which is a surefire tell-tale sign that the writing is cleverly thought out in great detail and driving at multiple meanings and a deep reflective nature. The most prominent theme that struck me was that he was not only giving his heart to the girl he loves emotionally and metaphorically, but was giving it to her physically as the greatest gift he could. Determined to die, but his plan is thwarted by falling in love - what a 2nd act complication. Absolutely masterful.<br /><br />Yes it is very slow-paced, but i'm undecided as to whether it would have been better slotted into a smaller timeframe. I didn't feel the strain and his terrible inner turmoil as much as i could have, but maybe that's just me having ruined it for myself beforehand. Saying all that though, it is a deeply moving and original film that is an incredibly powerful and thought-provoking tragedy that deserves the awards it will inevitably get.",1,,
"I want to start by stating I am a republican, even though I don't agree with a lot of the things bush has done in office. And I love the daily show and Colbert report. They have to be two of my favorite shows on TV. I enjoy the bush jokes on Conan, Letterman, Leno, because I admit that W is not the smartest guy to ever walk the earth(I do believe he's not the dumbest either.) But it comes to a point when enough is enough and it's not really that funny anymore. I see where it can be funny and it is(hey he's making fun of our authority figure he's hilarious.). Comedy central though is just trying to hard to poke fun at him. I mean maybe one special episode, but an entire series is just dumb. It seems CC is just saying the same bush jokes that we've heard WAY to many times. I really cannot see this show going past 1 season.",0,,
"Coming of age movies are quite usual these days. For 1980, ""Foxes"" really gives its meaning. Jodie Foster plays her character straight out. Ever since she did ""Taxi Driver"" four years earlier, she has a stronger character in this movie. She's Jeanie, a high schooler who has plenty of guts, and seems to get out of any situation she's in. Scott Baio plays Brad way before Chachi on ""Happy Days"". He's deemed immature by the other girls. Cherie Currie is Annie, hangs with the wrong crowd, chased by her policeman father. Jeanie and her three other friends decide to live on the wild side until they move into a rented house where a party get totally out of hand. Exploring life on the other side of the tracks can be either fun or dangerous. Annie is rescued by Jeanie and Brad all the time whenever she gets wasted. Reality comes back hard where she is killed in a automobile accident. And one gets married to a much older man. Growing up isn't easy, sometimes we got to explore life how it is. In reality, you got to be careful about the people surrounding you. For me, I was my own person, and I tend to stay that way! Great music, great plot, this movie's a gem! 4 out of 5 stars!",1,,
"So this made for TV film scores only a 7.6 on this site? Bah! Humbug! Without question this 1984 version of Dickens' classic tale is the best ever made. And yes, the Hound has seen the 1951 version which was also good, but not good enough. The lack of color is perhaps the biggest shortcoming of that version, although the acting was wonderful.<br /><br />George C. Scott is simply incredible as Ebenezer Scrooge. We all know the story of this stingy businessman who is haunted by the ghost of his dead partner, then by three other spirits later on that evening. Scott is properly gruff as Scrooge. Too gruff in fact for some critics who claim he is unable to project the new-found glee that he awakens to on Christmas morning after the spirits teach him a valuable lesson. But hey, this is George C. Scott. He's never going to go dancing down the street in a fit of joy. He has too much dignity, and his Scrooge projects his emotion in a realistic manner.<br /><br />The supporting performances are uniformly excellent, as are the costumes, music, and scenery. 19th Century London comes to life in Clive Donner's visionary style. The film even borders on frightening in several scenes involving the spirits. The important tale of morality shines through in every frame, though.<br /><br />You won't often find this version aired on television anymore, and that is a disappointment. The 1984 version of A Christmas Carol should be a required part of every household's celebration of the holiday. When the decorations come out of the basement, this film should find its way into the DVD player at least once during the season.<br /><br />10 of 10 stars.<br /><br />The Hound.",1,,
"This is certainly a quality movie with a classy cast. As far as movies about Carlos the Jackal go, this one beats Bruce Willis' feeble efforts in 'The Jackal' to a bloody pulp, then spits on them. I am a bit surprised that this movie hasn't attracted more votes, something of a 'sleeper' obviously. A pity because this film is definitely worth a watch. It is clever and never dull. See it, 7/10",1,,
The story centers around Barry McKenzie who must go to England if he wishes to claim his inheritance. Being about the grossest Aussie shearer ever to set foot outside this great Nation of ours there is something of a culture clash and much fun and games ensue. The songs of Barry McKenzie(Barry Crocker) are highlights.,1,,
"I agree with what ""veinbreaker"" wrote with regards to the ""Ahhhh"" feeling you get at the end of this movie. I absolutely loved the locations they chose to film, the songs were well written and interesting, especially the psychedelic sounding track on which Hans Matheson sings. It's trippy. Nighy was fab in his role, Nail ""nailed"" it, Beano was the typical drummer, and Rea kept it together. Bruce Robinson was awesome. Helena was a lovely girlfriend. But I felt Juliet Aubrey's performance was gorgeous. The scenes between Aubrey & Robinson killed me! Perfectly played and the music behind the scene was spot on! Too bad not many more musicians have checked this movie out! They ought to!I've told all my musician friends. great quote by Jimmy Nail's character: ""it's supposed to be rock & roll, not the Phantom of the f*****g opera!""",1,,
"This movie was a rather odd viewing experience. The movie is obviously based on a play. Now I'm sure that everything in this movie works out just fine in a play but for in a movie it just doesn't feel terribly interesting enough to watch. The movie is way too 'stagey' and they didn't even bothered to change some of the dialog to make it more fitting for a movie. Instead what is presented now is an almost literally re-filming of a stage-play, with over-the-top characters and staged dialog. Because of all this the storyline really doesn't work out and the movie becomes an almost complete bore- and obsolete viewing experience.<br /><br />It takes a while before you figure out that this is a comedy you're watching. At first you think its a drama you're watching, with quirky characters in it but as the movie progresses you'll notice that the movie is more a tragicomedy, that leans really more toward the comedy genre, rather than the drama genre.<br /><br />The characters and dialog are really the things that make this movie a quirky and over-the-top one that at times really become unwatchable. Sure, the actors are great; Peter O'Toole and Susannah York, amongst others but they don't really uplift the movie to a level of 'watchable enough'.<br /><br />The story feels totally disorientated. Basicaly the story is about nothing and just mainly focuses on the brother/sister characters played by Peter O'Toole and Susannah York. But what exactly is the story even about? The movie feels like a pointless and obsolete one that has very little to offer. Like I said before; I'm sure the story is good and interesting to watch on stage but as a movie it really isn't fitting and simply doesn't work out.<br /><br />The editing is simply dreadful and times and it becomes even laughable bad in certain sequences. <br /><br />More was to expect from director J. Lee Thompson, who has obviously done far better movies than this rather failed, stage-play translated to screen, project.<br /><br />Really not worth your time.<br /><br />4/10",0,,
